id_setting,n_data,alpha,n_seed,method,minVar,minCVar,beta_var,p1,p2,rho,a,b,NoExcVaR
NC,500,0.9,2,MLP,78,121.0,219,0.24151564177306903,0.07759659277746488,0.10517618566507358,2.0547802378108195,6.4530754966083,132
NC,500,0.9,2,AdaBoostClassifier,69,113.0,219,0.2257122681221667,0.07304236709451976,0.12643368133223795,1.5595103540763187,5.3497744936236815,133
NC,500,0.9,2,RandomForest,75,118.0,209,0.23566967642909747,0.0723088779729919,0.09309237766715588,2.295898238539981,7.446119798376183,131
NC,500,0.9,2,LogisticRegression,79,122.0,207,0.2425516548705607,0.07395093701914346,0.08229698980962509,2.7047208447322078,8.446391878992767,130
NC,500,0.9,3,real,56,101.0,184,0.2017289581446353,0.05461061402351253,0.08641658375224852,2.132648882135697,8.439204072234077,111
NC,500,0.9,3,KNN,44,89.0,118,0.1799747092026741,0.03391772150288481,0.01034548109764906,17.216481531346975,78.44407881970747,101
NC,500,0.9,3,MLP,48,94.0,133,0.18683697112690179,0.03808191435259727,0.02089043105188597,8.756825830742631,38.11198058671618,103
NC,500,0.9,3,AdaBoostClassifier,48,94.0,155,0.18706818742993347,0.04282117148472592,0.05146626754429097,3.447704574533848,14.982497919544771,101
NC,500,0.9,3,RandomForest,45,91.0,138,0.18163030071109837,0.037555400314263784,0.030717247132287424,5.731344254880677,25.82365638347024,99
NC,500,0.9,3,LogisticRegression,48,94.0,135,0.18665072876647815,0.0384534253212391,0.023811854101712195,7.651912699447248,33.34397706741029,104
NC,500,0.9,4,real,47,92.0,175,0.1859724884155293,0.04813580372847207,0.0895061145709665,1.8917904589179857,8.280630607434217,112
NC,500,0.9,4,KNN,20,69.0,85,0.13629185232546687,0.018996258628090467,0.003574605386503461,37.991511807929506,240.75964723627504,79
NC,500,0.9,4,MLP,19,68.0,90,0.13537627509179914,0.019240527856815032,0.0078068824966522204,17.205255552026003,109.88684784889288,78
NC,500,0.9,4,AdaBoostClassifier,20,69.0,119,0.13718126056384314,0.024014592905654834,0.043898125844785654,2.9878100214986456,18.792205770879033,81
NC,500,0.9,4,RandomForest,18,67.0,110,0.1334012995207348,0.02161055590114019,0.03299715605560311,3.9094107323991194,25.396231314900714,77
NC,500,0.9,4,LogisticRegression,21,68.0,94,0.13781636160625158,0.020160397513277573,0.009821733738644183,13.893959011495777,86.92105925411265,79
NC,1000,0.9,1,real,93,185.0,342,0.18450706161265903,0.046626083016712776,0.0836293732558668,2.0217400309490916,8.935781125409061,218
NC,1000,0.9,1,KNN,88,179.0,272,0.17994788072887943,0.03694246373404141,0.030909587193009538,5.6418018438861575,25.710619874193544,204
NC,1000,0.9,1,MLP,82,174.0,319,0.17384712185507545,0.041096708837863656,0.07571063569799043,2.1223576352744775,10.085826271528234,196
NC,1000,0.9,1,AdaBoostClassifier,83,176.0,346,0.17551635027334592,0.045378124486025385,0.10069863115537957,1.5674701060422418,7.363151477651228,203
NC,1000,0.9,1,RandomForest,79,172.0,298,0.17157049868370233,0.03777560205941741,0.05867112980876297,2.7527041700185264,13.29145371921037,198
NC,1000,0.9,1,LogisticRegression,84,176.0,309,0.175697902649505,0.040077249044055324,0.0635753206169312,2.587920132525898,12.1414539437046,202
